X,Y,PC,PQ,EA,NO,CY,RH,LH,CC,DC,WC
-1.4272094196344,50.9195103056383,SO155FY,10,440360,113502,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42741574285488,50.9200868464413,SO155FZ,10,440345,113566,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42826080305949,50.919623370073,SO155GA,10,440286,113514,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42856517955828,50.9203262858067,SO155GB,10,440264,113592,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42947333462962,50.920519571986,SO155GD,10,440200,113613,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.4281142528411,50.9211334155258,SO155GE,10,440295,113682,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42816630807252,50.9215293464515,SO155GF,10,440291,113726,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.427296181404,50.9217139274015,SO155GG,10,440352,113747,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42627327705159,50.922752051664,SO155GH,10,440423,113863,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42544276907518,50.919717449418,SO155GJ,10,440484,113526,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42375434992469,50.920500481499,SO155GL,10,440602,113614,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42665690635865,50.9204787989839,SO155GN,10,440398,113610,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42643931469563,50.9208194506091,SO155GP,10,440413,113648,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42468170435425,50.9202892309816,SO155GQ,10,440537,113590,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42562333159004,50.9212291009763,SO155GR,10,440470,113694,E92000001,E19000002,E18000009,,E06000045,E05002467
